clientID,POS,traitName,traitWgt,metricName,metricWgt,statName,statWgt,inverse,
4,CF,SCORING,0.32,Goalscoring,0.451,goals90,0.53,0,
4,CF,SCORING,0.32,Goalscoring,0.451,goalsPassesRatio,0.47,0,
4,CF,SCORING,0.32,Goalscoring,0.451,goalsWithoutPenalties90,0,0,
4,CF,SCORING,0.32,Shooting,0.241,headShots90,0.442,0,
4,CF,SCORING,0.32,Shooting,0.241,shots90,0.193,0,
4,CF,SCORING,0.32,Shooting,0.241,shotsBlocked90,0.143,1,
4,CF,SCORING,0.32,Shooting,0.241,shotsOnTarget90,0.132,0,
4,CF,SCORING,0.32,Shooting,0.241,xgShot90,0.056,0,
4,CF,SCORING,0.32,Shooting,0.241,shotsPassesRatio,0.034,0,
4,CF,SCORING,0.32,Conversion,0.164,goalConversionPct,0.571,0,
4,CF,SCORING,0.32,Conversion,0.164,headShotsOnTargetPct,0.25,0,
4,CF,SCORING,0.32,Conversion,0.164,goalsShotsRatio,0.106,0,
4,CF,SCORING,0.32,Conversion,0.164,goalsShotsOnTargetRatio,0.073,0,
4,CF,SCORING,0.32,Positioning,0.145,passesToFinalThird90,0.285,0,
4,CF,SCORING,0.32,Positioning,0.145,progressiveRun90,0.28,0,
4,CF,SCORING,0.32,Positioning,0.145,touchInBox90,0.182,0,
4,CF,SCORING,0.32,Positioning,0.145,passesToFinalThirdRatio,0.13,0,
4,CF,SCORING,0.32,Positioning,0.145,touchInBoxReceivedPassRatio,0.123,0,
4,CF,CREATING,0.249,Assists,0.43,assists90,0.439,0,
4,CF,CREATING,0.249,Assists,0.43,secondAssists90,0.144,0,
4,CF,CREATING,0.249,Assists,0.43,shotAssists90,0.142,0,
4,CF,CREATING,0.249,Assists,0.43,shotOnTargetAssists90,0.122,0,
4,CF,CREATING,0.249,Assists,0.43,thirdAssists90,0.077,0,
4,CF,CREATING,0.249,Assists,0.43,xgAssist90,0.046,0,
4,CF,CREATING,0.249,Assists,0.43,successfulShotAssistsPct,0.029,0,
4,CF,CREATING,0.249,Assists,0.43,assistsPassesRatio,0,0,
4,CF,CREATING,0.249,Crossing,0.267,crosses90,0.52,0,
4,CF,CREATING,0.249,Crossing,0.267,successfulCrosses90,0.238,0,
4,CF,CREATING,0.249,Crossing,0.267,crossesPassesRatio,0.177,0,
4,CF,CREATING,0.249,Crossing,0.267,successfulCrossesPct,0.065,0,
4,CF,CREATING,0.249,Dribbling,0.165,dribbles90,0.416,0,
4,CF,CREATING,0.249,Dribbling,0.165,foulsSuffered90,0.186,0,
4,CF,CREATING,0.249,Dribbling,0.165,successfulDribbles90,0.149,0,
4,CF,CREATING,0.249,Dribbling,0.165,successfulDribblesPct,0.117,0,
4,CF,CREATING,0.249,Dribbling,0.165,dribblesPassesRatio,0.102,0,
4,CF,CREATING,0.249,Dribbling,0.165,offensiveDuelsWonPct,0.03,0,
4,CF,CREATING,0.249,Comb Play,0.138,dangerousOwnHalfLosses90,0.315,1,
4,CF,CREATING,0.249,Comb Play,0.138,linkupPlays90,0.193,0,
4,CF,CREATING,0.249,Comb Play,0.138,missedBalls90,0.172,1,
4,CF,CREATING,0.249,Comb Play,0.138,progressivePasses90,0.16,0,
4,CF,CREATING,0.249,Comb Play,0.138,smartPasses90,0.137,0,
4,CF,CREATING,0.249,Comb Play,0.138,successfulLinkupPlays90,0.023,0,
4,CF,PASSING,0.246,Involvement,0.523,passes90,0.61,0,
4,CF,PASSING,0.246,Involvement,0.523,receivedPass90,0.346,0,
4,CF,PASSING,0.246,Involvement,0.523,receivedPassRatio,0.045,0,
4,CF,PASSING,0.246,Accuracy,0.265,ballLosses90,0.26,1,
4,CF,PASSING,0.246,Accuracy,0.265,ownHalfLosses90,0.159,1,
4,CF,PASSING,0.246,Accuracy,0.265,successfulKeyPassesPct,0.143,0,
4,CF,PASSING,0.246,Accuracy,0.265,successfulLongPassesPct,0.142,0,
4,CF,PASSING,0.246,Accuracy,0.265,successfulPassesPct,0.139,0,
4,CF,PASSING,0.246,Accuracy,0.265,successfulPassesToFinalThirdPct,0.107,0,
4,CF,PASSING,0.246,Accuracy,0.265,successfulProgressivePassesPct,0.05,0,
4,CF,PASSING,0.246,Accuracy,0.265,successfulSmartPassesPct,0,0,
4,CF,PASSING,0.246,Accuracy,0.265,successfulThroughPassesPct,0,0,
4,CF,PASSING,0.246,Accuracy,0.265,successfulVerticalPassesPct,0,0,
4,CF,PASSING,0.246,Direction,0.125,backPassesPct,0.5,1,
4,CF,PASSING,0.246,Direction,0.125,forwardPassesPct,0.255,0,
4,CF,PASSING,0.246,Direction,0.125,lateralPassesPct,0.245,1,
4,CF,PASSING,0.246,Intent,0.087,attackingActions90,0.252,0,
4,CF,PASSING,0.246,Intent,0.087,successfulAttackingActions90,0.204,0,
4,CF,PASSING,0.246,Intent,0.087,successfulAttackingActionsPct,0.158,0,
4,CF,PASSING,0.246,Intent,0.087,keyPasses90,0.127,0,
4,CF,PASSING,0.246,Intent,0.087,keyPassesRatio,0.113,0,
4,CF,PASSING,0.246,Intent,0.087,longPassLength,0.076,0,
4,CF,PASSING,0.246,Intent,0.087,longPasses90,0.049,0,
4,CF,PASSING,0.246,Intent,0.087,throughPasses90,0.022,0,
4,CF,DEFENDING,0.185,Aerial,0.587,aerialDuels90,0.915,0,
4,CF,DEFENDING,0.185,Aerial,0.587,aerialDuelsWon90,0.085,0,
4,CF,DEFENDING,0.185,Aerial,0.587,aerialDuelsWonPct,0,0,
4,CF,DEFENDING,0.185,On Ball,0.276,defensiveActions90,0.289916667,0,
4,CF,DEFENDING,0.185,On Ball,0.276,successfulDefensiveAction90,0.135916667,0,
4,CF,DEFENDING,0.185,On Ball,0.276,successfulDefensiveActionPct,0.124916667,0,
4,CF,DEFENDING,0.185,On Ball,0.276,defensiveDuels90,0.099916667,0,
4,CF,DEFENDING,0.185,On Ball,0.276,defensiveDuelsWon90,0.080916667,0,
4,CF,DEFENDING,0.185,On Ball,0.276,defensiveDuelsWonPct,0.071916667,0,
4,CF,DEFENDING,0.185,On Ball,0.276,dribblesAgainst90,0.063916667,0,
4,CF,DEFENDING,0.185,On Ball,0.276,dribblesAgainstWon90,0.058916667,0,
4,CF,DEFENDING,0.185,On Ball,0.276,dribblesAgainstWonPct,0.035916667,0,
4,CF,DEFENDING,0.185,On Ball,0.276,pressingDuels90,0.030916667,0,
4,CF,DEFENDING,0.185,On Ball,0.276,slidingTackles90,0.005916667,0,
4,CF,DEFENDING,0.185,On Ball,0.276,successfulSlidingTackles90,0,0,
4,CF,DEFENDING,0.185,On Ball,0.276,successfulSlidingTacklesPct,0,0,
4,CF,DEFENDING,0.185,Off Ball,0.117,ballRecoveries90,0.29,0,
4,CF,DEFENDING,0.185,Off Ball,0.117,clearances90,0.177,0,
4,CF,DEFENDING,0.185,Off Ball,0.117,counterpressingRecoveries90,0.125,0,
4,CF,DEFENDING,0.185,Off Ball,0.117,dangerousOpponentHalfRecoveries90,0.101,0,
4,CF,DEFENDING,0.185,Off Ball,0.117,interceptions90,0.095,0,
4,CF,DEFENDING,0.185,Off Ball,0.117,looseBallDuels90,0.082,0,
4,CF,DEFENDING,0.185,Off Ball,0.117,looseBallDuelsWon90,0.06,0,
4,CF,DEFENDING,0.185,Off Ball,0.117,looseBallDuelsWonPct,0.031,0,
4,CF,DEFENDING,0.185,Off Ball,0.117,opponentHalfRecoveries90,0.021,0,
4,CF,DEFENDING,0.185,Off Ball,0.117,recoveries90,0.019,0,
4,CF,DEFENDING,0.185,Fouls,0.02,adjCards90,0.623,1,
4,CF,DEFENDING,0.185,Fouls,0.02,directRedCards,0,1,
4,CF,DEFENDING,0.185,Fouls,0.02,fouls90,0.276,1,
4,CF,DEFENDING,0.185,Fouls,0.02,redCards,0,1,
4,CF,DEFENDING,0.185,Fouls,0.02,yellowCards,0,1,
4,CF,DEFENDING,0.185,Fouls,0.02,yellowCardsPerFoul,0.1,1,
4,AM,SCORING,0.326,Goalscoring,0.397,goals90,0.53,0,
4,AM,SCORING,0.326,Goalscoring,0.397,goalsPassesRatio,0.47,0,
4,AM,SCORING,0.326,Goalscoring,0.397,goalsWithoutPenalties90,0,0,
4,AM,SCORING,0.326,Shooting,0.308,headShots90,0.425,0,
4,AM,SCORING,0.326,Shooting,0.308,shots90,0.168,0,
4,AM,SCORING,0.326,Shooting,0.308,shotsBlocked90,0.154,1,
4,AM,SCORING,0.326,Shooting,0.308,shotsOnTarget90,0.126,0,
4,AM,SCORING,0.326,Shooting,0.308,xgShot90,0.077,0,
4,AM,SCORING,0.326,Shooting,0.308,shotsPassesRatio,0.05,0,
4,AM,SCORING,0.326,Conversion,0.151,goalConversionPct,0.568,0,
4,AM,SCORING,0.326,Conversion,0.151,headShotsOnTargetPct,0.25,0,
4,AM,SCORING,0.326,Conversion,0.151,goalsShotsRatio,0.111,0,
4,AM,SCORING,0.326,Conversion,0.151,goalsShotsOnTargetRatio,0.071,0,
4,AM,SCORING,0.326,Positioning,0.144,passesToFinalThird90,0.301,0,
4,AM,SCORING,0.326,Positioning,0.144,progressiveRun90,0.23,0,
4,AM,SCORING,0.326,Positioning,0.144,touchInBox90,0.198,0,
4,AM,SCORING,0.326,Positioning,0.144,passesToFinalThirdRatio,0.164,0,
4,AM,SCORING,0.326,Positioning,0.144,touchInBoxReceivedPassRatio,0.107,0,
4,AM,CREATING,0.252,Assists,0.455,assists90,0.381,0,
4,AM,CREATING,0.252,Assists,0.455,secondAssists90,0.136,0,
4,AM,CREATING,0.252,Assists,0.455,shotAssists90,0.126,0,
4,AM,CREATING,0.252,Assists,0.455,shotOnTargetAssists90,0.124,0,
4,AM,CREATING,0.252,Assists,0.455,thirdAssists90,0.099,0,
4,AM,CREATING,0.252,Assists,0.455,xgAssist90,0.064,0,
4,AM,CREATING,0.252,Assists,0.455,successfulShotAssistsPct,0.037,0,
4,AM,CREATING,0.252,Assists,0.455,assistsPassesRatio,0.032,0,
4,AM,CREATING,0.252,Crossing,0.219,crosses90,0.491,0,
4,AM,CREATING,0.252,Crossing,0.219,successfulCrosses90,0.251,0,
4,AM,CREATING,0.252,Crossing,0.219,crossesPassesRatio,0.186,0,
4,AM,CREATING,0.252,Crossing,0.219,successfulCrossesPct,0.072,0,
4,AM,CREATING,0.252,Dribbling,0.165,dribbles90,0.368,0,
4,AM,CREATING,0.252,Dribbling,0.165,foulsSuffered90,0.215,0,
4,AM,CREATING,0.252,Dribbling,0.165,successfulDribbles90,0.153,0,
4,AM,CREATING,0.252,Dribbling,0.165,successfulDribblesPct,0.138,0,
4,AM,CREATING,0.252,Dribbling,0.165,dribblesPassesRatio,0.104,0,
4,AM,CREATING,0.252,Dribbling,0.165,offensiveDuelsWonPct,0.022,0,
4,AM,CREATING,0.252,Comb Play,0.16,dangerousOwnHalfLosses90,0.317,1,
4,AM,CREATING,0.252,Comb Play,0.16,linkupPlays90,0.193,0,
4,AM,CREATING,0.252,Comb Play,0.16,missedBalls90,0.169,1,
4,AM,CREATING,0.252,Comb Play,0.16,progressivePasses90,0.163,0,
4,AM,CREATING,0.252,Comb Play,0.16,smartPasses90,0.142,0,
4,AM,CREATING,0.252,Comb Play,0.16,successfulLinkupPlays90,0.018,0,
4,AM,PASSING,0.24,Involvement,0.515,passes90,0.625,0,
4,AM,PASSING,0.24,Involvement,0.515,receivedPass90,0.341,0,
4,AM,PASSING,0.24,Involvement,0.515,receivedPassRatio,0.034,0,
4,AM,PASSING,0.24,Accuracy,0.251,ballLosses90,0.226,1,
4,AM,PASSING,0.24,Accuracy,0.251,ownHalfLosses90,0.147,1,
4,AM,PASSING,0.24,Accuracy,0.251,successfulKeyPassesPct,0.126,0,
4,AM,PASSING,0.24,Accuracy,0.251,successfulLongPassesPct,0.123,0,
4,AM,PASSING,0.24,Accuracy,0.251,successfulPassesPct,0.12,0,
4,AM,PASSING,0.24,Accuracy,0.251,successfulPassesToFinalThirdPct,0.098,0,
4,AM,PASSING,0.24,Accuracy,0.251,successfulProgressivePassesPct,0.085,0,
4,AM,PASSING,0.24,Accuracy,0.251,successfulSmartPassesPct,0.074,0,
4,AM,PASSING,0.24,Accuracy,0.251,successfulThroughPassesPct,0,0,
4,AM,PASSING,0.24,Accuracy,0.251,successfulVerticalPassesPct,0,0,
4,AM,PASSING,0.24,Direction,0.139,backPassesPct,0.5,1,
4,AM,PASSING,0.24,Direction,0.139,forwardPassesPct,0.255,0,
4,AM,PASSING,0.24,Direction,0.139,lateralPassesPct,0.245,1,
4,AM,PASSING,0.24,Intent,0.095,attackingActions90,0.249,0,
4,AM,PASSING,0.24,Intent,0.095,successfulAttackingActions90,0.204,0,
4,AM,PASSING,0.24,Intent,0.095,successfulAttackingActionsPct,0.158,0,
4,AM,PASSING,0.24,Intent,0.095,keyPasses90,0.126,0,
4,AM,PASSING,0.24,Intent,0.095,keyPassesRatio,0.109,0,
4,AM,PASSING,0.24,Intent,0.095,longPassLength,0.08,0,
4,AM,PASSING,0.24,Intent,0.095,longPasses90,0.053,0,
4,AM,PASSING,0.24,Intent,0.095,throughPasses90,0.022,0,
4,AM,DEFENDING,0.183,Aerial,0.622,aerialDuels90,0.916,0,
4,AM,DEFENDING,0.183,Aerial,0.622,aerialDuelsWon90,0.084,0,
4,AM,DEFENDING,0.183,Aerial,0.622,aerialDuelsWonPct,0,0,
4,AM,DEFENDING,0.183,On Ball,0.267,defensiveActions90,0.295916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,successfulDefensiveAction90,0.145916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,successfulDefensiveActionPct,0.123916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,defensiveDuels90,0.090916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,defensiveDuelsWon90,0.079916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,defensiveDuelsWonPct,0.070916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,dribblesAgainst90,0.062916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,dribblesAgainstWon90,0.058916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,dribblesAgainstWonPct,0.036916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,pressingDuels90,0.028916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,slidingTackles90,0.004916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,successfulSlidingTackles90,0,0,
4,AM,DEFENDING,0.183,On Ball,0.267,successfulSlidingTacklesPct,0,0,
4,AM,DEFENDING,0.183,Off Ball,0.094,ballRecoveries90,0.264,0,
4,AM,DEFENDING,0.183,Off Ball,0.094,clearances90,0.173,0,
4,AM,DEFENDING,0.183,Off Ball,0.094,counterpressingRecoveries90,0.139,0,
4,AM,DEFENDING,0.183,Off Ball,0.094,dangerousOpponentHalfRecoveries90,0.1,0,
4,AM,DEFENDING,0.183,Off Ball,0.094,interceptions90,0.096,0,
4,AM,DEFENDING,0.183,Off Ball,0.094,looseBallDuels90,0.082,0,
4,AM,DEFENDING,0.183,Off Ball,0.094,looseBallDuelsWon90,0.052,0,
4,AM,DEFENDING,0.183,Off Ball,0.094,looseBallDuelsWonPct,0.047,0,
4,AM,DEFENDING,0.183,Off Ball,0.094,opponentHalfRecoveries90,0.028,0,
4,AM,DEFENDING,0.183,Off Ball,0.094,recoveries90,0.02,0,
4,AM,DEFENDING,0.183,Fouls,0.017,adjCards90,0.652,1,
4,AM,DEFENDING,0.183,Fouls,0.017,directRedCards,0,1,
4,AM,DEFENDING,0.183,Fouls,0.017,fouls90,0.255,1,
4,AM,DEFENDING,0.183,Fouls,0.017,redCards,0,1,
4,AM,DEFENDING,0.183,Fouls,0.017,yellowCards,0,1,
4,AM,DEFENDING,0.183,Fouls,0.017,yellowCardsPerFoul,0.093,1,
4,M,SCORING,0.296,Goalscoring,0.489,goals90,1,0,
4,M,SCORING,0.296,Goalscoring,0.489,goalsPassesRatio,0,0,
4,M,SCORING,0.296,Goalscoring,0.489,goalsWithoutPenalties90,0,0,
4,M,SCORING,0.296,Shooting,0.322,headShots90,0.41,0,
4,M,SCORING,0.296,Shooting,0.322,shots90,0.187,0,
4,M,SCORING,0.296,Shooting,0.322,shotsBlocked90,0.166,1,
4,M,SCORING,0.296,Shooting,0.322,shotsOnTarget90,0.1,0,
4,M,SCORING,0.296,Shooting,0.322,xgShot90,0.074,0,
4,M,SCORING,0.296,Shooting,0.322,shotsPassesRatio,0.063,0,
4,M,SCORING,0.296,Conversion,0.189,goalConversionPct,0.614,0,
4,M,SCORING,0.296,Conversion,0.189,headShotsOnTargetPct,0.248,0,
4,M,SCORING,0.296,Conversion,0.189,goalsShotsRatio,0.088,0,
4,M,SCORING,0.296,Conversion,0.189,goalsShotsOnTargetRatio,0.051,0,
4,M,SCORING,0.296,Positioning,0,passesToFinalThird90,0.315,0,
4,M,SCORING,0.296,Positioning,0,progressiveRun90,0.224,0,
4,M,SCORING,0.296,Positioning,0,touchInBox90,0.198,0,
4,M,SCORING,0.296,Positioning,0,passesToFinalThirdRatio,0.172,0,
4,M,SCORING,0.296,Positioning,0,touchInBoxReceivedPassRatio,0.092,0,
4,M,CREATING,0.252,Assists,0.419,assists90,0.388,0,
4,M,CREATING,0.252,Assists,0.419,secondAssists90,0.144,0,
4,M,CREATING,0.252,Assists,0.419,shotAssists90,0.143,0,
4,M,CREATING,0.252,Assists,0.419,shotOnTargetAssists90,0.119,0,
4,M,CREATING,0.252,Assists,0.419,thirdAssists90,0.099,0,
4,M,CREATING,0.252,Assists,0.419,xgAssist90,0.067,0,
4,M,CREATING,0.252,Assists,0.419,successfulShotAssistsPct,0.041,0,
4,M,CREATING,0.252,Assists,0.419,assistsPassesRatio,0,0,
4,M,CREATING,0.252,Crossing,0.279,crosses90,0.463,0,
4,M,CREATING,0.252,Crossing,0.279,successfulCrosses90,0.286,0,
4,M,CREATING,0.252,Crossing,0.279,crossesPassesRatio,0.189,0,
4,M,CREATING,0.252,Crossing,0.279,successfulCrossesPct,0.063,0,
4,M,CREATING,0.252,Dribbling,0.176,dribbles90,0.352,0,
4,M,CREATING,0.252,Dribbling,0.176,foulsSuffered90,0.208,0,
4,M,CREATING,0.252,Dribbling,0.176,successfulDribbles90,0.162,0,
4,M,CREATING,0.252,Dribbling,0.176,successfulDribblesPct,0.149,0,
4,M,CREATING,0.252,Dribbling,0.176,dribblesPassesRatio,0.116,0,
4,M,CREATING,0.252,Dribbling,0.176,offensiveDuelsWonPct,0.013,0,
4,M,CREATING,0.252,Comb Play,0.126,dangerousOwnHalfLosses90,0.317,1,
4,M,CREATING,0.252,Comb Play,0.126,linkupPlays90,0.181,0,
4,M,CREATING,0.252,Comb Play,0.126,missedBalls90,0.169,1,
4,M,CREATING,0.252,Comb Play,0.126,progressivePasses90,0.164,0,
4,M,CREATING,0.252,Comb Play,0.126,smartPasses90,0.152,0,
4,M,CREATING,0.252,Comb Play,0.126,successfulLinkupPlays90,0.017,0,
4,M,PASSING,0.247,Involvement,0.527,passes90,0.632,0,
4,M,PASSING,0.247,Involvement,0.527,receivedPass90,0.338,0,
4,M,PASSING,0.247,Involvement,0.527,receivedPassRatio,0.029,0,
4,M,PASSING,0.247,Accuracy,0.243,ballLosses90,0.27,1,
4,M,PASSING,0.247,Accuracy,0.243,ownHalfLosses90,0.168,1,
4,M,PASSING,0.247,Accuracy,0.243,successfulKeyPassesPct,0.143,0,
4,M,PASSING,0.247,Accuracy,0.243,successfulLongPassesPct,0.138,0,
4,M,PASSING,0.247,Accuracy,0.243,successfulPassesPct,0.115,0,
4,M,PASSING,0.247,Accuracy,0.243,successfulPassesToFinalThirdPct,0.091,0,
4,M,PASSING,0.247,Accuracy,0.243,successfulProgressivePassesPct,0.075,0,
4,M,PASSING,0.247,Accuracy,0.243,successfulSmartPassesPct,0,0,
4,M,PASSING,0.247,Accuracy,0.243,successfulThroughPassesPct,0,0,
4,M,PASSING,0.247,Accuracy,0.243,successfulVerticalPassesPct,0,0,
4,M,PASSING,0.247,Direction,0.124,backPassesPct,0.5,1,
4,M,PASSING,0.247,Direction,0.124,forwardPassesPct,0.254,0,
4,M,PASSING,0.247,Direction,0.124,lateralPassesPct,0.245,1,
4,M,PASSING,0.247,Intent,0.106,attackingActions90,0.255,0,
4,M,PASSING,0.247,Intent,0.106,successfulAttackingActions90,0.245,0,
4,M,PASSING,0.247,Intent,0.106,successfulAttackingActionsPct,0.148,0,
4,M,PASSING,0.247,Intent,0.106,keyPasses90,0.138,0,
4,M,PASSING,0.247,Intent,0.106,keyPassesRatio,0.116,0,
4,M,PASSING,0.247,Intent,0.106,longPassLength,0.054,0,
4,M,PASSING,0.247,Intent,0.106,longPasses90,0.043,0,
4,M,PASSING,0.247,Intent,0.106,throughPasses90,0,0,
4,M,DEFENDING,0.204,Aerial,0.572,aerialDuels90,0.907,0,
4,M,DEFENDING,0.204,Aerial,0.572,aerialDuelsWon90,0.093,0,
4,M,DEFENDING,0.204,Aerial,0.572,aerialDuelsWonPct,0,0,
4,M,DEFENDING,0.204,On Ball,0.314,defensiveActions90,0.313916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,successfulDefensiveAction90,0.146916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,successfulDefensiveActionPct,0.126916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,defensiveDuels90,0.095916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,defensiveDuelsWon90,0.073916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,defensiveDuelsWonPct,0.072916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,dribblesAgainst90,0.057916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,dribblesAgainstWon90,0.049916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,dribblesAgainstWonPct,0.032916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,pressingDuels90,0.027916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,slidingTackles90,0.004916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,successfulSlidingTackles90,0,0,
4,M,DEFENDING,0.204,On Ball,0.314,successfulSlidingTacklesPct,0,0,
4,M,DEFENDING,0.204,Off Ball,0.093,ballRecoveries90,0.299,0,
4,M,DEFENDING,0.204,Off Ball,0.093,clearances90,0.173,0,
4,M,DEFENDING,0.204,Off Ball,0.093,counterpressingRecoveries90,0.126,0,
4,M,DEFENDING,0.204,Off Ball,0.093,dangerousOpponentHalfRecoveries90,0.105,0,
4,M,DEFENDING,0.204,Off Ball,0.093,interceptions90,0.087,0,
4,M,DEFENDING,0.204,Off Ball,0.093,looseBallDuels90,0.073,0,
4,M,DEFENDING,0.204,Off Ball,0.093,looseBallDuelsWon90,0.056,0,
4,M,DEFENDING,0.204,Off Ball,0.093,looseBallDuelsWonPct,0.036,0,
4,M,DEFENDING,0.204,Off Ball,0.093,opponentHalfRecoveries90,0.028,0,
4,M,DEFENDING,0.204,Off Ball,0.093,recoveries90,0.016,0,
4,M,DEFENDING,0.204,Fouls,0.021,adjCards90,0.659,1,
4,M,DEFENDING,0.204,Fouls,0.021,directRedCards,0,1,
4,M,DEFENDING,0.204,Fouls,0.021,fouls90,0.326,1,
4,M,DEFENDING,0.204,Fouls,0.021,redCards,0,1,
4,M,DEFENDING,0.204,Fouls,0.021,yellowCards,0,1,
